Route_ID,Origin_Station_ID,Destination_Station_ID,Distance_KM,Origin_Station,Destination_Station
RT0001,ST0060,ST0032,388,Thrissur,Jaipur Junction
RT0002,ST0057,ST0071,481,Ernakulam Junction,Jhansi Junction
RT0003,ST0007,ST0084,140,Erode Junction,Surendranagar
RT0004,ST0012,ST0097,1048,Mangaluru Central,Tumakuru
RT0005,ST0022,ST0053,2069,Chhatrapati Shivaji Maharaj Terminus,Bengaluru Cantt
RT0006,ST0062,ST0028,1722,Alappuzha,Indore Junction
RT0007,ST0008,ST0022,1632,Tirunelveli Junction,Chhatrapati Shivaji Maharaj Terminus
RT0008,ST0001,ST0050,1166,Chennai Central,Puri
RT0009,ST0059,ST0037,1812,Kollam Junction,Chandigarh
RT0010,ST0090,ST0094,2073,Nashik Road,Belagavi
RT0011,ST0020,ST0025,1295,Anand Vihar Terminal,Pune Junction
RT0012,ST0028,ST0008,329,Indore Junction,Tirunelveli Junction
RT0013,ST0096,ST0041,314,Davangere,Kanpur Central
RT0014,ST0007,ST0075,2032,Erode Junction,Panipat Junction
RT0015,ST0065,ST0068,724,Mangalore Junction,Ratlam Junction
RT0016,ST0008,ST0066,408,Tirunelveli Junction,Goa Madgaon
RT0017,ST0024,ST0009,358,Dadar Central,Nagercoil Junction
RT0018,ST0087,ST0031,1733,Thane,Surat
RT0019,ST0016,ST0073,1088,Visakhapatnam,Mathura Junction
RT0020,ST0075,ST0077,242,Panipat Junction,Ghaziabad Junction
RT0021,ST0080,ST0011,1797,Jodhpur Junction,Mysuru Junction
RT0022,ST0085,ST0075,1375,Bhavnagar Terminus,Panipat Junction
RT0023,ST0034,ST0027,1366,Kota Junction,Bhopal Junction
RT0024,ST0031,ST0034,1701,Surat,Kota Junction
RT0025,ST0017,ST0086,1308,New Delhi,Vasai Road
RT0026,ST0059,ST0041,377,Kollam Junction,Kanpur Central
RT0027,ST0002,ST0059,489,Chennai Egmore,Kollam Junction
RT0028,ST0010,ST0069,953,Bengaluru City Junction,Ujjain Junction
RT0029,ST0065,ST0034,622,Mangalore Junction,Kota Junction
RT0030,ST0045,ST0009,1080,Ranchi Junction,Nagercoil Junction
RT0031,ST0048,ST0037,726,Kolkata,Chandigarh
RT0032,ST0057,ST0070,1319,Ernakulam Junction,Gwalior Junction
RT0033,ST0079,ST0084,112,Moradabad Junction,Surendranagar
RT0034,ST0086,ST0071,1306,Vasai Road,Jhansi Junction
RT0035,ST0085,ST0014,630,Bhavnagar Terminus,Secunderabad Junction
RT0036,ST0034,ST0015,518,Kota Junction,Vijayawada Junction
RT0037,ST0096,ST0071,716,Davangere,Jhansi Junction
RT0038,ST0035,ST0037,942,Amritsar Junction,Chandigarh
RT0039,ST0092,ST0044,913,Solapur,Patna Junction
RT0040,ST0088,ST0082,1161,Kalyan Junction,Gandhinagar Capital
RT0041,ST0065,ST0063,1108,Mangalore Junction,Palakkad Junction
RT0042,ST0007,ST0012,1814,Erode Junction,Mangaluru Central
RT0043,ST0036,ST0006,94,Ludhiana Junction,Salem Junction
RT0044,ST0043,ST0099,615,Varanasi Junction,Karimnagar
RT0045,ST0082,ST0034,741,Gandhinagar Capital,Kota Junction
RT0046,ST0095,ST0057,1831,Hubballi Junction,Ernakulam Junction
RT0047,ST0072,ST0002,538,Agra Cantt,Chennai Egmore
RT0048,ST0010,ST0089,690,Bengaluru City Junction,Panvel
RT0049,ST0070,ST0005,1592,Gwalior Junction,Tiruchirappalli Junction
RT0050,ST0075,ST0071,686,Panipat Junction,Jhansi Junction
RT0051,ST0056,ST0017,251,Kozhikode,New Delhi
RT0052,ST0040,ST0047,243,Lucknow Charbagh,Sealdah
RT0053,ST0046,ST0027,1102,Howrah Junction,Bhopal Junction
RT0054,ST0086,ST0014,1528,Vasai Road,Secunderabad Junction
RT0055,ST0100,ST0072,1744,Warangal,Agra Cantt
RT0056,ST0080,ST0096,713,Jodhpur Junction,Davangere
RT0057,ST0031,ST0021,805,Surat,Mumbai Central
RT0058,ST0053,ST0004,814,Bengaluru Cantt,Madurai Junction
RT0059,ST0095,ST0043,1766,Hubballi Junction,Varanasi Junction
RT0060,ST0086,ST0095,1096,Vasai Road,Hubballi Junction
RT0061,ST0035,ST0021,522,Amritsar Junction,Mumbai Central
RT0062,ST0049,ST0005,2007,Bhubaneswar,Tiruchirappalli Junction
RT0063,ST0029,ST0026,1965,Ahmedabad Junction,Nagpur Junction
RT0064,ST0045,ST0040,1012,Ranchi Junction,Lucknow Charbagh
RT0065,ST0029,ST0004,871,Ahmedabad Junction,Madurai Junction
RT0066,ST0052,ST0043,1221,New Jalpaiguri,Varanasi Junction
RT0067,ST0009,ST0099,1223,Nagercoil Junction,Karimnagar
RT0068,ST0045,ST0083,2166,Ranchi Junction,Rajkot Junction
RT0069,ST0052,ST0087,1436,New Jalpaiguri,Thane
RT0070,ST0004,ST0015,1149,Madurai Junction,Vijayawada Junction
RT0071,ST0023,ST0075,1167,Bandra Terminus,Panipat Junction
RT0072,ST0005,ST0014,1859,Tiruchirappalli Junction,Secunderabad Junction
RT0073,ST0045,ST0094,1364,Ranchi Junction,Belagavi
RT0074,ST0056,ST0078,2174,Kozhikode,Bareilly Junction
RT0075,ST0015,ST0050,858,Vijayawada Junction,Puri
RT0076,ST0033,ST0006,1866,Ajmer Junction,Salem Junction
RT0077,ST0001,ST0067,887,Chennai Central,Vasco da Gama
RT0078,ST0047,ST0056,366,Sealdah,Kozhikode
RT0079,ST0086,ST0043,1365,Vasai Road,Varanasi Junction
RT0080,ST0085,ST0016,1310,Bhavnagar Terminus,Visakhapatnam
RT0081,ST0065,ST0040,1752,Mangalore Junction,Lucknow Charbagh
RT0082,ST0042,ST0052,1291,Prayagraj Junction,New Jalpaiguri
RT0083,ST0071,ST0017,865,Jhansi Junction,New Delhi
RT0084,ST0054,ST0086,1632,Yesvantpur Junction,Vasai Road
RT0085,ST0087,ST0096,792,Thane,Davangere
RT0086,ST0079,ST0073,1312,Moradabad Junction,Mathura Junction
RT0087,ST0052,ST0071,81,New Jalpaiguri,Jhansi Junction
RT0088,ST0039,ST0037,940,Shri Mata Vaishno Devi Katra,Chandigarh
RT0089,ST0056,ST0075,1399,Kozhikode,Panipat Junction
RT0090,ST0060,ST0057,1891,Thrissur,Ernakulam Junction
RT0091,ST0087,ST0028,2173,Thane,Indore Junction
RT0092,ST0061,ST0095,775,Kottayam,Hubballi Junction
RT0093,ST0085,ST0011,1242,Bhavnagar Terminus,Mysuru Junction
RT0094,ST0066,ST0085,1452,Goa Madgaon,Bhavnagar Terminus
RT0095,ST0012,ST0097,1042,Mangaluru Central,Tumakuru
RT0096,ST0087,ST0040,1000,Thane,Lucknow Charbagh
RT0097,ST0026,ST0019,180,Nagpur Junction,Delhi Junction
RT0098,ST0006,ST0032,2026,Salem Junction,Jaipur Junction
RT0099,ST0079,ST0099,378,Moradabad Junction,Karimnagar
RT0100,ST0059,ST0054,876,Kollam Junction,Yesvantpur Junction
RT0101,ST0092,ST0090,1652,Solapur,Nashik Road
RT0102,ST0064,ST0052,1079,Kannur,New Jalpaiguri
