Train_ID,Train_Name,Train_Type,Coach_Count,Operating_Zone
TR0001,Vande Bharat Express,Superfast,19,Northern
TR0002,Rajdhani Express,Mail,15,Southern
TR0003,Shatabdi Express,Express,22,South Central
TR0004,Duronto Express,Express,12,South Central
TR0005,Garib Rath Express,Vande Bharat,19,Eastern
TR0006,Tejas Express,Vande Bharat,15,South Western
TR0007,Humsafar Express,Vande Bharat,17,Central
TR0008,Gatimaan Express,Intercity,19,Central
TR0009,Deccan Queen,Express,15,South Central
TR0010,Konkan Kanya Express,Express,14,Eastern
TR0011,Chennai Express,Vande Bharat,20,Northern
TR0012,Tamil Nadu Express,Mail,14,Central
TR0013,Grand Trunk Express,Express,20,Northern
TR0014,Kaveri Express,Rajdhani,13,South Western
TR0015,Vaigai Superfast Express,Rajdhani,13,Central
TR0016,Pandian Express,Rajdhani,13,Central
TR0017,Nellai Superfast Express,Shatabdi,17,Western
TR0018,Cheran Superfast Express,Superfast,14,Central
TR0019,Coimbatore Intercity Express,Superfast,20,Southern
TR0020,Madurai Intercity Express,Shatabdi,15,Eastern
TR0021,Rockfort Superfast Express,Express,12,Eastern
TR0022,Cholan Express,Vande Bharat,15,Northern
TR0023,Mangalore Mail,Shatabdi,12,South Western
TR0024,Kerala Express,Superfast,16,Central
TR0025,Karnataka Express,Superfast,15,Southern
TR0026,Andhra Pradesh Express,Express,19,Northern
TR0027,Howrah Mail,Rajdhani,19,Western
TR0028,Mumbai Mail,Superfast,18,Northern
TR0029,Bengaluru Rajdhani,Express,14,Northern
TR0030,Mumbai Rajdhani,Vande Bharat,12,Central
TR0031,Sealdah Rajdhani,Express,12,Western
TR0032,Bhubaneswar Rajdhani,Rajdhani,23,Northern
TR0033,Patna Rajdhani,Vande Bharat,22,Southern
TR0034,Secunderabad Rajdhani,Mail,14,Southern
TR0035,August Kranti Rajdhani,Mail,17,Eastern
TR0036,Bandra Terminus–Haridwar Express,Express,18,Western
TR0037,Amritsar Shatabdi,Shatabdi,17,Western
TR0038,New Delhi–Bhopal Shatabdi,Vande Bharat,17,Eastern
TR0039,Chennai–Mysuru Shatabdi,Express,17,Northern
TR0040,New Delhi–Ajmer Shatabdi,Superfast,14,Western
TR0041,Kalka Shatabdi,Vande Bharat,17,Southern
TR0042,Executive Shatabdi,Superfast,19,Southern
TR0043,Chennai–Coimbatore Vande Bharat,Vande Bharat,22,Central
TR0044,Chennai–Bengaluru Vande Bharat,Intercity,22,Western
TR0045,Madurai–Bengaluru Vande Bharat,Shatabdi,13,Northern
TR0046,Secunderabad–Visakhapatnam Vande Bharat,Express,16,Eastern
TR0047,Coimbatore–Chennai Intercity Express,Superfast,12,Eastern
TR0048,Bengaluru–Coimbatore Uday Express,Superfast,23,Northern
TR0049,Double Decker Express,Superfast,12,South Western
TR0050,Jan Shatabdi Express,Rajdhani,16,South Central
TR0051,Antyodaya Express,Mail,23,Central
TR0052,Sampark Kranti Express,Express,14,Eastern
