Record_ID,Train_ID,Route_ID,Station_ID,Travel_Date,Scheduled_Departure,Delay_Minutes,Passenger_Count,Cancellation_Flag,Delay_Reason,On_Time_Flag,Revenue_INR
1,TR0026,RT0228,ST0025,07-03-2025,07-03-2025 02:45,31,1067,No,Technical Issue,No,336737
2,TR0047,RT0169,ST0063,20-09-2025,20-09-2025 16:00,35,202,No,Track Maintenance,No,231129
3,TR0121,RT0291,ST0059,24-01-2025,24-01-2025 16:45,0,1263,No,No Delay,Yes,1064802
4,TR0056,RT0246,ST0075,15-11-2025,15-11-2025 21:30,79,1149,No,Signal Failure,No,1310554
5,TR0094,RT0266,ST0029,24-11-2025,24-11-2025 12:30,19,302,No,Crew Delay,No,122819
6,TR0107,RT0243,ST0003,21-05-2025,21-05-2025 23:30,35,1319,No,Crew Delay,No,433811
7,TR0063,RT0158,ST0039,19-08-2025,19-08-2025 14:45,45,1250,No,Congestion,No,1539452
8,TR0048,RT0300,ST0022,29-03-2025,29-03-2025 20:15,0,1106,No,No Delay,Yes,1003228
9,TR0061,RT0018,ST0041,26-04-2025,26-04-2025 11:15,15,811,No,Congestion,Yes,234831
10,TR0081,RT0083,ST0020,07-10-2025,07-10-2025 13:30,39,97,No,Weather,No,58576
11,TR0026,RT0231,ST0019,07-02-2025,07-02-2025 14:15,44,339,No,Track Maintenance,No,419585
12,TR0036,RT0253,ST0013,18-07-2025,18-07-2025 13:45,66,478,No,Track Maintenance,No,632680
13,TR0001,RT0167,ST0091,23-09-2025,23-09-2025 03:15,0,1346,Yes,No Delay,No,356695
14,TR0008,RT0042,ST0019,07-06-2025,07-06-2025 15:45,76,311,Yes,Technical Issue,No,124937
15,TR0113,RT0249,ST0080,19-08-2025,19-08-2025 07:15,19,229,No,Track Maintenance,No,313191
16,TR0099,RT0248,ST0066,10-12-2025,10-12-2025 21:45,40,813,No,Crew Delay,No,1157040
17,TR0180,RT0286,ST0065,10-10-2025,10-10-2025 10:45,27,1036,No,Congestion,No,991373
18,TR0047,RT0020,ST0003,13-10-2025,13-10-2025 20:15,0,997,No,No Delay,Yes,716423
19,TR0127,RT0042,ST0024,08-05-2025,08-05-2025 04:45,13,524,No,Congestion,Yes,509152
20,TR0056,RT0087,ST0038,26-07-2025,26-07-2025 02:15,81,1178,No,Track Maintenance,No,1159766
21,TR0014,RT0261,ST0002,15-09-2025,15-09-2025 19:45,33,1151,No,Congestion,No,1146717
22,TR0028,RT0297,ST0056,21-09-2025,21-09-2025 09:15,0,1310,No,No Delay,Yes,672307
23,TR0078,RT0240,ST0080,25-05-2025,25-05-2025 04:15,0,321,No,No Delay,Yes,113209
24,TR0130,RT0167,ST0093,17-02-2025,17-02-2025 08:15,51,912,No,Track Maintenance,No,427957
25,TR0109,RT0219,ST0037,05-03-2025,05-03-2025 02:15,1,595,No,No Delay,Yes,322049
